cl1,cl2,Rsq,snpCt,pctConc,,,
c9.3R.34,c10.3R.15,0.025239799,0,NA,TRUE,FALSE,FALSE
c8.3L.45,c11.3L.15,0.025225862,0,NA,TRUE,FALSE,FALSE
c1.3R.15,c1.3R.34,0.024705979,5,1,FALSE,TRUE,FALSE
c10.3L.34,c14.3L.15,0.024007444,4,1,TRUE,FALSE,FALSE
c13.3R.15,c15.3R.34,0.023858684,0,NA,FALSE,FALSE,FALSE
c6.3R.45,c16.3R.15,0.023539315,0,NA,TRUE,FALSE,FALSE
c1.2L.34,c17.2L.15,0.023298948,0,NA,TRUE,FALSE,FALSE
c8.3L.45,c10.3L.15,0.023195241,12,1,TRUE,FALSE,FALSE
c9.3L.15,c5.3L.23,0.023107417,1,1,FALSE,TRUE,FALSE
c8.3L.15,c7.3L.45,0.022821492,0,NA,FALSE,TRUE,FALSE
c12.3L.15,c10.3L.34,0.022804534,0,NA,FALSE,TRUE,FALSE
c1.2L.34,c16.2L.15,0.021878558,0,NA,TRUE,FALSE,FALSE
c4.3R.45,c15.3R.34,0.021836111,4,0,TRUE,FALSE,FALSE
c6.3R.45,c15.3R.15,0.021626165,1,1,TRUE,FALSE,FALSE
c2.3R.15,c2.3R.34,0.021500288,4,0.75,FALSE,TRUE,FALSE
c5.2L.45,c6.2L.15,0.021342806,3,1,TRUE,FALSE,FALSE
c5.2L.45,c7.2L.15,0.02119179,1,1,TRUE,FALSE,FALSE
c10.3R.45,c21.3R.15,0.021119109,2,1,TRUE,FALSE,FALSE
c4.3R.45,c13.3R.15,0.020805312,0,NA,TRUE,FALSE,FALSE
c3.3L.45,c5.3L.15,0.020720278,1,1,TRUE,FALSE,FALSE
c5.2L.45,c5.2L.15,0.0203795,1,1,TRUE,FALSE,FALSE
c3.X.45,c2.X.15,0.020377676,1,1,TRUE,FALSE,FALSE
c4.2L.15,c5.2L.45,0.020372239,5,1,FALSE,TRUE,FALSE
c5.X.15,c7.X.45,0.020132518,0,NA,FALSE,TRUE,FALSE
c3.3R.45,c12.3R.15,0.020072078,3,1,TRUE,FALSE,FALSE
c1.2L.34,c11.2L.15,0.020031584,0,NA,TRUE,FALSE,FALSE
c4.3R.34,c4.3R.15,0.01988764,0,NA,TRUE,FALSE,FALSE
c5.2L.45,c8.2L.15,0.019450408,3,1,TRUE,FALSE,FALSE
c9.3R.45,c18.3R.15,0.019209137,6,1,TRUE,FALSE,FALSE
c3.3R.34,c3.3R.15,0.019180112,0,NA,TRUE,FALSE,FALSE
c14.2R.15,c2.2R.45,0.019028089,1,1,FALSE,TRUE,FALSE
c5.2L.45,c9.2L.15,0.019005941,1,1,TRUE,FALSE,FALSE
c12.3R.15,c12.3R.34,0.018427237,0,NA,FALSE,TRUE,FALSE
c20.3R.34,c20.3R.15,0.018336971,0,NA,TRUE,FALSE,FALSE
c9.3R.45,c17.3R.15,0.018204721,0,NA,TRUE,FALSE,FALSE
c6.3L.15,c4.3L.45,0.018063979,4,1,FALSE,TRUE,FALSE
c20.3R.34,c21.3R.15,0.017593757,0,NA,TRUE,FALSE,FALSE
c11.3R.34,c12.3R.15,0.017300933,0,NA,TRUE,FALSE,FALSE
c2.2L.15,c2.2L.45,0.017204842,0,NA,FALSE,TRUE,FALSE
c5.3R.34,c6.3R.15,0.017086396,0,NA,TRUE,FALSE,FALSE
